"Reference","Value","Qty","Digikey Part Number","Digikey URL","Footprint","Datasheet","JLCPCB Part #（optional）","DNP","Exclude from BOM","Exclude from Board"
"C3,C4","470uF","2","493-12789-1-ND","https://www.digikey.com.au/en/products/detail/nichicon/UVR1H471MHD1TO/1978711","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","~","","","",""
"C5,C6","1uF","2","1276-1068-1-ND","https://www.digikey.com.au/en/products/detail/samsung-electro-mechanics/CL31B105KBHNNNE/3886726","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","",""
"C7,C8","180uF","2","732-8633-1-ND","https://www.digikey.com.au/en/products/detail/w%C3%BCrth-elektronik/860010473010/5726881","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","~","","","",""
"C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C24,C25,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C38","100nF","30","399-C1206C104K5RACTUCT-ND ","https://www.digikey.com.au/en/products/detail/kemet/C1206C104K5RACTU/411248 ","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","","",""
"D1,D2,D5,D6","LED","4","3147-B1501USD-20D000313U1930CT-ND ","https://www.digikey.com.au/en/products/detail/harvatek-corporation/B1501USD-20D000313U1930/24635249 ","Diode_SMD:D_1206_3216Metric_Pad1.42x1.75mm_HandSolder","~","","","",""
"D3,D4","B330AF","2","B330AF-13DICT-ND","https://www.digikey.com.au/en/products/detail/diodes-incorporated/B330AF-13/7666776","Diode_SMD:D_SMA","~","","","",""
"D7,D8","5.6V Zener","2","SZMMBZ5232BLT1GOSCT-ND","https://www.digikey.com.au/en/products/detail/onsemi/SZMMBZ5232BLT1G/3063226","Package_TO_SOT_SMD:SOT-23","https://diotec.com/tl_files/diotec/files/pdf/datasheets/bzx84c2v4.pdf","","","",""
"F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11","PRG18BB330MB1RB","11","490-2471-1-ND","https://www.digikey.com.au/en/products/detail/murata-electronics/PRG18BB330MB1RB/588492","Fuse:Fuse_0603_1608Metric_Pad1.05x0.95mm_HandSolder","~","","","",""
"J1,J4","Conn_02x35_Odd_Even","2","SSW-135-03-T-D-ND","https://www.digikey.com.au/en/products/detail/samtec-inc/SSW-135-03-T-D/7886849","Connector_PinHeader_2.54mm:PinHeader_2x35_P2.54mm_Vertical","~","","","",""
"J3","UART_TX","1","PH1-02-UA ","https://www.digikey.com.au/en/products/detail/adam-tech/PH1-02-UA/9830266 ","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","~","","","",""
"J5","24V Logic","1","732-691412120002B-ND","https://www.digikey.com.au/en/products/detail/w%C3%BCrth-elektronik/691412120002B/11478592","691412120002B:691412120002B","~","","","",""
"J6","24V Isolated","1","732-691412120002B-ND","https://www.digikey.com.au/en/products/detail/w%C3%BCrth-elektronik/691412120002B/11478592","691412120002B:691412120002B","~","","","",""
"J7,J9,J11,J13,J15,J17,J19,J20,J22,J23,J26,J27,J28,J29","Conn_01x04_Socket","14","732-691412120004B-ND","https://www.digikey.com.au/en/products/detail/w%C3%BCrth-elektronik/691412120004B/11478393","691412120004B:691412120004B","~","","","",""
"J8,J10,J12,J14,J16,J18,J21,J24,J30","Conn_01x02_Socket","9","732-691412120002B-ND","https://www.digikey.com.au/en/products/detail/w%C3%BCrth-elektronik/691412120002B/11478592","691412120002B:691412120002B","~","","","",""
"J25","Spindle Out","1","732-691412120002B-ND","https://www.digikey.com.au/en/products/detail/w%C3%BCrth-elektronik/691412120002B/11478592","691412120002B:691412120002B","~","","","",""
"L1,L2","68uH / 1A","2","SDE0805A-680KCT-ND","https://www.digikey.com.au/en/products/detail/bourns-inc/SDE0805A-680K/5030909","Inductor_SMD:L_APV_ANR8040","~","","","",""
"Q1","BC847","1","BC847CLT1GOSCT-ND","https://www.digikey.com/en/products/detail/onsemi/BC847CLT1G/918346","Package_TO_SOT_SMD:SOT-23","http://www.infineon.com/dgdl/Infineon-BC847SERIES_BC848SERIES_BC849SERIES_BC850SERIES-DS-v01_01-en.pdf?fileId=db3a304314dca389011541d4630a1657","","","",""
